日付,曜日,テーマNo,テーマ ( タイトル ),AIへの命令文の例
2027/10/31,日,No.03503,植物と共生する哺乳類,鹿の背中から、毛皮の代わりに色鮮やかな花やキノコが生えていたり、狐の尻尾が蔦のようになっていたりする、進化した哺乳類の生態系を描いてください。
2027/11/01,月,No.03504,データを食べる動物,サーバー室やデータセンターに生息する、ネズミや虫のような小動物が、ケーブルをかじるのではなく、光ファイバーを流れる「データ」（光の粒子）を食べて生きている様子を描いてください。
2027/11/02,火,No.03505,死んでから生まれる人,人々が老人として墓場から「生まれ」、徐々に若返っていき、最終的に赤ん坊の姿で母の胎内に「戻って」消えていく、逆行する人生を描いてください。
2027/11/03,水,No.03506,嘘をつくと口から煙が出る,政治家やセールスマンが嘘をついた瞬間、その口から比喩ではなく、物理的に黒い煙がモクモクと吹き出している風刺的なイラストを生成してください。
2027/11/04,木,No.03507,新しい記憶を植える庭師,人間の頭部をプランターに見立て、そこに「新しい記憶」の種を植え、水をやって育てている庭師の姿を描いてください。記憶は花として咲いている様子を表現してください。
2027/11/05,金,No.03508,ビルの窓から鳥が飛び立つ,オフィスビルの窓（ガラス）が、鳥の群れのように一斉に割れて飛び立ち、大空を羽ばたいていく、物質が生命を得たかのような瞬間を描いてください。
2027/11/06,土,No.03509,フォークが料理人を指導する,高級レストランの厨房で、巨大なフォークが擬人化し、腕を組んで料理人に対して「味が薄い！」と厳しく指導しているコミカルな光景を描いてください。
2027/11/07,日,No.03510,悲しみで冬が始まる,ある一人の人物が深い悲しみに包まれると、その人物を中心に世界が凍りつき、一瞬にして周囲が雪景色に変わる、感情が天候を支配する瞬間を描いてください。
2027/11/08,月,No.03511,老人の外見の赤ちゃん,高級なスーツを着こなし、葉巻をくゆらせ、難しい顔で新聞を読んでいるが、その姿はしわくちゃの顔をした「老人のような赤ちゃん」である、アンバランスな人物像を描いてください。
2027/11/09,火,No.03512,1秒で宇宙の果てまで行ける,スタートラインに立ったランナーが、ピストルの音と同時に「1秒」で宇宙の果て（銀河の終わり）に到達し、ゴールテープを切る。時間の概念が距離になった世界を描いてください。
2027/11/10,水,No.03513,鳥の歌声が虹色に見える,森の中で鳥がさえずると、その鳴き声が音波ではなく、虹色の軌跡となって空中に描かれ、光の粒子となって消えていく、共感覚的な風景を描いてください。
2027/11/11,木,No.03514,岩が空に浮く,重力がおかしくなった世界で、巨大な岩や山々が、綿毛のように軽々と空に浮かび、雲と共に漂っている、幻想的で非現実的な風景を描いてください。
2027/11/12,金,No.03515,心臓の外側に体がある,人間の心臓がむき出しで脈打っており、その心臓を守るように、外側に「体」（肋骨や皮膚のイメージ）が鎧のように形成されている、内と外が逆転した解剖図を描いてください。
2027/11/13,土,No.03516,写真の中の人が動く,古い家族写真立ての中で、白黒の写真に写っている人々が、静止画ではなく、笑ったり手を振ったりと、自由に動き回っている様子を描いてください。
2027/11/14,日,No.03517,丸い形の調理器具が時間を刻む,丸いフライパンや鍋が、キッチンの壁で時計の役割を果たしており、その取っ手が長針や短針のように動いて正確な時間を指している様子を描いてください。
2027/11/15,月,No.03518,生きている石が動かない,見た目はただの石ころだが、確かに「生きている」という設定で、目が描かれていたり、思考のフキダシが出ていたりする。しかし、石なので全く動かない、シュールな静物画を描いてください。
2027/11/16,火,No.03519,地球が豆粒より小さい,巨大な食卓の上、皿に盛られた豆（グリーンピース）の隣に、それよりもはるかに小さい「地球」が置かれている、極端なスケール逆転の情景を描いてください。
2027/11/17,水,No.03520,原始人とロボットが共存する,石器時代の集落で、原始人が狩ったマンモスを、未来的なロボットがレーザーで解体し、一緒に焚き火を囲んでいる、時代が混在した風景を描いてください。
2027/11/18,木,No.03521,水が火を消し、消えた火がまた水を生む,水が火にかかると火は消えるが、その消えた灰から再び水が湧き出し、その水が新たな火種を生む...という、原因と結果が無限に循環する様をシンボリックに描いてください。
2027/11/19,金,No.03522,群衆が一人の人間になる,広場に集まった大勢の群衆が、まるで粘土のように融合し、最終的にたった一人の巨大な（あるいは普通の大きさの）人物を形成するプロセスを描いてください。
2027/11/20,土,No.03523,石が「硬さ」という概念になる,「石」という具体的な物体がその形を失い、「硬さ」という抽象的な概念（例：鋭いエッジ、触れると跳ね返される力場）として空間に存在している様子を描いてください。
2027/11/21,日,No.03524,計算ミスが必ず正解になる,数学のテストで、学生が「2+2=5」と明らかな計算ミスをしているが、先生がそれを「正解！」として花丸をつけている、必然が狂った教室を描いてください。
2027/11/22,月,No.03525,1+1の答えが永遠に計算できない,世界中の科学者が、スーパーコンピュータを使って「1+1」の答えを計算しようとしているが、答えが無限に続き、永遠に解明できない様子を、深刻な表情で描いてください。
2027/11/23,火,No.03526,無限大が数えられる,無限（∞）の記号が、リンゴや羊のように具体的な形を持ち、人々がそれを一つ、二つと数えて、「無限は全部で100個ありました」と報告しているシュールな光景を描いてください。
2027/11/24,水,No.03527,空を飛ぶことができない,鳥や飛行機、スーパーマンなど、本来空を飛べるはずのものが、まるで地面に張り付いたかのように、どれだけ努力しても飛べない世界を描いてください。
2027/11/25,木,No.03528,無数にあるものが0個に見える,空には無数の星が輝いているが、天文学者が望遠鏡を覗いても「星は一つもない（0個だ）」と結論付け、レポートを書いている様子を描いてください。
2027/11/26,金,No.03529,「犬」という名前が猫を指す,公園で、飼い主が「犬、おいで！」と呼ぶと、猫が「ニャー」と鳴きながら駆け寄ってくる。名前と実体が入れ替わった平和な日常を描いてください。
2027/11/27,土,No.03530,始まりが終わりで、終わりが始まりの世界,マラソンのスタートラインが同時にゴールラインでもあり、選手たちが走り出すと同時にゴールテープを切っている、始まりと終わりが融合した瞬間を描いてください。
2027/11/28,日,No.03531,雲が雨の原因になる,空に浮かぶ雲が、地上を見下ろし「雨を降らせよう」と意志決定（理由）をし、その結果として雨が降る（原因）という、擬人化された天候を描いてください。
2027/11/29,月,No.03532,「42」という答えが質問になる,賢者が「答えは42だ」と宣言すると、人々はその「42」という答えに対して、「それは一体どういう意味ですか？（なぜですか？）」と問いかけ始める様子を描いてください。
2027/11/30,火,No.03533,怠け者ほど成功する,ハンモックで寝ているだけで、何もしない「怠け者」が、なぜかビジネスで大成功し、大金持ちになっている。対照的に、必死で働く人々は貧しいままである様子を描いてください。
2027/12/01,水,No.03534,明日の予測が昨日の記憶,人々が「明日は雨が降るだろう」と予測すると、その瞬間、それが「昨日も雨だった」という確定した過去の記憶にすり替わってしまう世界を描いてください。
2027/12/02,木,No.03535,全員同じ服なのに一人一人違って見える,全員が全く同じデザインの制服（例：学生服）を着ているにもかかわらず、その人の個性や内面がオーラのように溢れ出て、全員が全く違う服装に見える様子を描いてください。
2027/12/03,金,No.03536,爆音が無音に聞こえる,ロックコンサートのステージ最前列で、巨大なスピーカーから爆音が鳴り響いているが、観客はまるで無音の空間にいるかのように、静かに目を閉じて瞑想している様子を描いてください。
2027/12/04,土,No.03537,成功することが最大の失敗,オリンピックで金メダルを獲得し、最高の成功を収めた選手が、その瞬間、すべてを失ったかのように絶望し、泣き崩れている様子を描いてください。
2027/12/05,日,No.03538,ゴミが美しく見える,ゴミ収集場所に積み上げられたゴミ袋や残飯が、まるで印象派の絵画や宝石のように美しく輝いて見え、人々がそれを鑑賞している様子を描いてください。
2027/12/06,月,No.03539,嘘をつくと真実になる,ピノキオが「僕の鼻は伸びない」と嘘をつくと、その言葉が真実となり、本当に鼻が伸びなくなる。嘘が現実を書き換える瞬間を描いてください。
2027/12/07,火,No.03540,憎むほど愛が深くなる,敵対する二人の戦士が、憎しみを込めて剣を交えているが、その憎しみが激しくなるほど、二人の間には愛のような強い絆（赤い糸）が生まれている様子を描いてください。
2027/12/08,水,No.03541,絶望の底で希望が生まれる,全てを失い、真っ暗な絶望のどん底にいる人物の足元から、一点のまばゆい希望の光（あるいは小さな芽）が生まれ、闇を照らし始める瞬間を描いてください。
2027/12/09,木,No.03542,何もできない束縛が最大の自由,厳重な牢屋に閉じ込められ、物理的に何もできない囚人が、精神世界では宇宙の果てまで旅をし、誰よりも自由で幸福そうな表情をしている様子を描いてください。
2027/12/10,金,No.03543,何でも知っているほど何も知らない,図書館の全ての蔵書を暗記した「賢者」が、あまりの情報の多さに混乱し、「結局、私は何も知らない」と子供のように泣いている姿を描いてください。
2027/12/11,土,No.03544,筋肉がないほど強い,見た目は痩せ細って非力な人物が、巨大な岩石を指先一つで軽々と持ち上げている。筋肉と強さが比例しない世界を描いてください。
2027/12/12,日,No.03545,カタツムリが新幹線より速く見える,高速道路で、車や新幹線が渋滞でノロノロ運転している横を、カタツムリが専用レーンで猛スピード（相対的に）で走り抜けていくコミカルな風景を描いてください。
2027/12/13,月,No.03546,月が太陽のように明るい,夜空に浮かぶ月が、太陽のように眩しく輝き、地上を真昼のように照らしている。人々は夜なのに日傘をさしている様子を描いてください。
2027/12/14,火,No.03547,氷が温かく感じる,南極の氷河の上で、人々が水着姿で日光浴ならぬ「氷浴」をしている。氷に触れると温かく感じるらしく、気持ちよさそうにしている様子を描いてください。
2027/12/15,水,No.03548,岩が綿のように柔らかい,登山家がロッククライミングをしているが、掴んだ岩が綿あめのように柔らかく、手が岩にめり込んで困惑している様子を描いてください。
2027/12/16,木,No.03549,コーヒーが甘く感じる,ブラックコーヒーを飲んだ人が、まるで極上のスイーツを食べたかのように、至福の表情で「甘い！」と感動している様子を描いてください。
2027/12/17,金,No.03550,ゴミの匂いが香水に感じる,都会のゴミ捨て場で、人々が恍惚とした表情で「良い香りだ」と深呼吸をしている。ゴミからは花の香りのようなエフェクトが出ている様子を描いてください。
2027/12/18,土,No.03551,雑音が美しい音楽に聞こえる,工事現場のドリルやハンマーの音、車のクラクションといった雑音が、オーケストラの演奏のように調和し、人々がそれを聴いて感動している様子を描いてください。
2027/12/19,日,No.03552,整然とした街が混乱に見える,完璧な碁盤の目状に整備され、全ての建物が同じ形をした「秩序ある」街並みを、訪れた旅行者が「ここは混沌（カオス）だ」と頭を抱えている様子を描いてください。
2027/12/20,月,No.03553,様々なパターンが同じに見える,万華鏡を覗き込んでいるが、どれだけ回しても、中の模様が全く変化せず、常に同じ単純なパターンに見える。その単調さに飽きている人を描いてください。
2027/12/21,火,No.03554,不確実なことが確実になる,「明日の天気は、晴れでもあり雨でもある」といった量子力学的な不確定な予報が、テレビで「確実に」起こることとして報じられている世界を描いてください。
2027/12/22,水,No.03555,間違っていることが正しく見える,裁判で、検事が「犯人はこの（無実の）人物です！」と明らかに間違った主張をしているが、裁判官や陪審員全員が「その通りだ」と納得している、論理が崩壊した法廷を描いてください。
2027/12/23,木,No.03556,非効率なことが効率的に見える,ピタゴラ装置のように、非常に遠回りで非効率な手順（例：AがBを倒し、Cが転がり...）を踏んでいるが、それが結果的に最も早い（効率的な）方法として称賛されている様子を描いてください。
2027/12/24,金,No.03557,孤独を編む少女,少女が、一人きりの部屋で、「孤独」という目に見えない概念を、灰色の毛糸のように使ってセーターを編んでいる、物悲しくも幻想的な情景を描いてください。
2027/12/25,土,No.03558,喜びを忘れた楽園,花が咲き乱れ、果物が実り、誰もが永遠に生きられる「楽園」で、人々が一切の喜びの感情を失い、無表情で虚ろに過ごしている様子を描いてください。
2027/12/26,日,No.03559,大理石でできた雲,空に浮かぶ雲が、綿菓子や水蒸気ではなく、重厚な大理石の彫刻のような質感で、空に静止している様子を描いてください。
2027/12/27,月,No.03560,電子回路のタトゥーを持つ原住民,ジャングルの奥地で暮らす原住民が、伝統的な模様の代わりに、発光する電子回路基板のパターンをタトゥーとして身にまとっている姿を描いてください。
2027/12/28,火,No.03561,星空を飲むクジラ,夜空を海のように泳ぐ巨大なクジラが、口を大きく開けて、星々をプランクトンのように飲み込んでいる幻想的な風景を描いてください。
2027/12/29,水,No.03562,音のない花火,夜空に色とりどりの巨大な花火が打ち上がっているが、爆発音は一切せず、完全な静寂の中で光だけが咲いては消えていく、不思議な花火大会を描いてください。
2027/12/30,木,No.03563,自分の肖像画を描くロボット,古いアトリエで、画家のようなベレー帽をかぶったロボットが、鏡に映る自分の姿（機械の顔）を、油絵で真剣に描いている様子を描いてください。
2027/12/31,金,No.03564,知識が重荷になる学者,学者が、本を読むたびに、その知識が物理的な「重り」となって背中に蓄積し、重さで前かがみになって歩いている様子を比喩的に描いてください。
